name,longitude,latitude,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean ,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa ,income_level
Kyrgyz Republic,74.6057,42.8851,0,1,0,0,0,0,0,2
Cambodia,104.874,11.5556,1,0,0,0,0,0,0,2
Kiribati,172.979,1.32905,1,0,0,0,0,0,0,2
Comoros,43.2418,-11.6986,0,0,0,0,0,0,1,2
St. Kitts and Nevis,-62.7309,17.3,0,0,1,0,0,0,0,4
"Korea, Dem. People’s Rep.",125.75399999999999,39.0319,1,0,0,0,0,0,0,1
"Korea, Rep.",126.95700000000001,37.5323,1,0,0,0,0,0,0,4
Kuwait,47.9824,29.3721,0,0,0,1,0,0,0,4
Cayman Islands,-81.3857,19.3022,0,0,1,0,0,0,0,4
Kazakhstan,71.4382,51.1879,0,1,0,0,0,0,0,3
Lao PDR,102.177,18.5826,1,0,0,0,0,0,0,2
Lebanon,35.5134,33.8872,0,0,0,1,0,0,0,3
St. Lucia,-60.9832,14.0,0,0,1,0,0,0,0,3
Liechtenstein,9.52148,47.1411,0,1,0,0,0,0,0,4
Sri Lanka,79.8528,6.92148,0,0,0,0,0,1,0,3
Liberia,-10.7957,6.30039,0,0,0,0,0,0,1,1
Lesotho,27.7167,-29.5208,0,0,0,0,0,0,1,2
Lithuania,25.2799,54.6896,0,1,0,0,0,0,0,4
Luxembourg,6.1296,49.61,0,1,0,0,0,0,0,4
Latvia,24.1048,56.9465,0,1,0,0,0,0,0,4
Libya,13.1072,32.8578,0,0,0,1,0,0,0,3
Morocco,-6.8704,33.9905,0,0,0,1,0,0,0,2
Monaco,7.41891,43.7325,0,1,0,0,0,0,0,4
Moldova,28.8497,47.0167,0,1,0,0,0,0,0,2
Montenegro,19.2595,42.4602,0,1,0,0,0,0,0,3
Madagascar,45.7167,-20.4667,0,0,0,0,0,0,1,1
Marshall Islands,171.135,7.110460000000001,1,0,0,0,0,0,0,3
North Macedonia,21.4361,42.0024,0,1,0,0,0,0,0,3
Mali,-7.50034,13.5667,0,0,0,0,0,0,1,1
Myanmar,95.9562,21.914,1,0,0,0,0,0,0,2
Mongolia,106.93700000000001,47.9129,1,0,0,0,0,0,0,2
"Macao SAR, China",113.55,22.1667,1,0,0,0,0,0,0,4
Northern Mariana Islands,145.765,15.1935,1,0,0,0,0,0,0,4
Mauritania,-15.9824,18.2367,0,0,0,0,0,0,1,2
Malta,14.5189,35.9042,0,0,0,1,0,0,0,4
Mauritius,57.4977,-20.1605,0,0,0,0,0,0,1,3
Maldives,73.5109,4.1742,0,0,0,0,0,1,0,3
Malawi,33.7703,-13.9899,0,0,0,0,0,0,1,1
Mexico,-99.1276,19.427,0,0,1,0,0,0,0,3
Malaysia,101.684,3.12433,1,0,0,0,0,0,0,3
Mozambique,32.5713,-25.9664,0,0,0,0,0,0,1,1
Namibia,17.0931,-22.5648,0,0,0,0,0,0,1,3
New Caledonia,166.46400000000003,-22.2677,1,0,0,0,0,0,0,4
Niger,2.1073,13.514000000000001,0,0,0,0,0,0,1,1
Nigeria,7.48906,9.05804,0,0,0,0,0,0,1,2
Nicaragua,-86.2734,12.1475,0,0,1,0,0,0,0,2
Netherlands,4.89095,52.3738,0,1,0,0,0,0,0,4
Norway,10.7387,59.9138,0,1,0,0,0,0,0,4
Nepal,85.3157,27.6939,0,0,0,0,0,1,0,1
Nauru,166.920867,-0.5477,1,0,0,0,0,0,0,3
New Zealand,174.77599999999998,-41.2865,1,0,0,0,0,0,0,4
Oman,58.5874,23.6105,0,0,0,1,0,0,0,4
